Pose,Image_Name,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk,Label
Triangle,triangle38.jpg,159.6685328738687,186.3796897263572,81.79985394050121,98.51253209634496,187.59464336859145,175.46222749209338,267.48712028947614,102.65588939448205,161.78582457410343,39.89490955340771,160.0168934781,315.74245234366055,355.0401623275346,193.2928373586428,1
Triangle,triangle39.jpg,172.87498365109818,189.78240703180728,94.96974072811032,98.94338081346524,167.9269829255542,179.50178838738637,286.4340585250713,84.2428355397974,171.15678391392828,49.81266630369698,139.6895443773461,323.5389338014265,1.4572279349867632,174.96501700959243,1
Triangle,triangle4.jpg,177.40101275098112,186.79027672165145,90.78144458689997,120.720084427977,188.4372357022852,179.82655215593203,267.0546612737256,103.13521626695947,189.04371619489208,40.04686376433537,159.0852873852609,329.72223554189907,356.40874096279447,186.11724740563704,1
Triangle,triangle40.jpg,171.61439976520285,187.8533133019782,85.35202930861297,111.1143473440858,177.5997855391434,176.6248324329805,291.4715978824067,76.98776678722027,174.7892319920865,55.19720557109125,146.14877173154125,331.0788485621828,2.405049129661176,174.42920863297203,1
Triangle,triangle41.jpg,157.2563862605531,199.4255552278999,98.77273729752945,96.49934627965456,169.64158105548265,175.63522328130526,300.75574009359536,68.90088308669274,170.96756002782055,53.17915694791753,135.30803885739988,333.6215793664876,10.4914770123316,168.13226810243393,1
Triangle,triangle42.jpg,169.69515353123398,188.09653716788844,54.79038472313878,129.3435680464276,171.2538377374448,174.3120087467375,296.22447670924805,71.3461989965449,179.951361828735,88.3397176310172,160.61609384372716,324.5390918532587,9.950626687951598,179.89492808493614,1
Triangle,triangle43.jpg,146.43368126542669,191.4166946725318,90.56308535519533,93.6487035997007,180.96017456666635,179.43123199068984,295.3162639750728,76.3906078300125,167.4466334498694,40.03820928980913,128.31557339658485,330.01836063115064,3.645907456053808,166.0975780323127,1
Triangle,triangle44.jpg,173.31798342774215,186.2335840509467,99.59636957594938,124.60398051053158,183.9909130984298,185.71059313749967,277.0272617015094,93.0364842229964,194.62087398863164,37.69424046668917,143.67317404787977,332.7981025509856,358.04007274087365,169.3995099629911,1
Triangle,triangle45.jpg,177.60694201639308,175.6012946450045,99.21990941059536,125.52117555178748,182.1163975820267,167.34744349944202,271.0303272904717,98.3181017280512,195.1830032225581,47.07484537384262,166.122470196792,320.7641444292374,3.89326338283001,185.80414898149937,1
Triangle,triangle46.png,167.7352262721076,194.0966820314938,66.7316854203581,125.96892820355936,180.37084129082805,173.65388130888385,289.2561272092124,81.6103815465747,184.8051603642656,59.81761568603986,154.01703395811242,333.2955433084422,358.19811660339764,172.5253866231131,1
Triangle,triangle47.jpg,172.8444584651141,190.88552705465872,100.5251078710283,102.86396743820802,170.78291737161803,176.85190390043726,289.96432717825485,77.1920055369731,175.88064776789432,51.03725250851771,142.8040985919439,320.25574057990536,3.080415911625308,175.8739528570317,1
